               epoch,      train/box_loss,      train/obj_loss,      train/cls_loss,   metrics/precision,      metrics/recall,     metrics/mAP_0.5,metrics/mAP_0.5:0.95,        val/box_loss,        val/obj_loss,        val/cls_loss,               x/lr0,               x/lr1,               x/lr2
                  53,            0.018804,           0.0042492,           0.0007763,             0.99968,                   1,               0.995,             0.80369,            0.012973,           0.0025978,          0.00058971,            0.008284,            0.008284,            0.008284
                  54,            0.019293,           0.0042667,          0.00083786,             0.99966,                   1,               0.995,             0.86166,            0.011678,            0.002636,          0.00055807,            0.008251,            0.008251,            0.008251
                  55,             0.01906,           0.0039769,          0.00077032,             0.99959,                   1,               0.995,             0.83811,            0.012699,           0.0025976,          0.00054282,            0.008218,            0.008218,            0.008218
                  56,            0.018485,           0.0039473,          0.00067381,             0.99964,                   1,               0.995,             0.83977,            0.010851,           0.0025528,          0.00048774,            0.008185,            0.008185,            0.008185
                  57,            0.018151,           0.0041034,          0.00064653,              0.9997,                   1,               0.995,             0.85118,            0.013656,           0.0026089,          0.00050636,            0.008152,            0.008152,            0.008152
                  58,            0.018397,            0.003995,          0.00068766,              0.9997,                   1,               0.995,             0.86839,           0.0098143,           0.0025301,          0.00053967,            0.008119,            0.008119,            0.008119
                  59,            0.018416,           0.0041072,          0.00068389,             0.99965,                   1,               0.995,             0.82155,            0.012925,           0.0025829,          0.00049284,            0.008086,            0.008086,            0.008086
                  60,             0.01701,           0.0041557,          0.00069392,              0.9997,                   1,               0.995,             0.85483,            0.010978,           0.0024446,          0.00047032,            0.008053,            0.008053,            0.008053
                  61,            0.017423,           0.0038791,          0.00065086,             0.99971,                   1,               0.995,              0.8639,            0.011102,           0.0024706,          0.00046731,             0.00802,             0.00802,             0.00802
                  62,            0.017379,           0.0038105,          0.00073705,             0.99965,                   1,               0.995,             0.86765,            0.009864,             0.00245,          0.00049534,            0.007987,            0.007987,            0.007987
                  63,            0.018041,           0.0039885,          0.00075823,             0.99967,                   1,               0.995,             0.86229,            0.011873,           0.0025686,          0.00046809,            0.007954,            0.007954,            0.007954
                  64,            0.017917,           0.0038317,          0.00066588,             0.99966,                   1,               0.995,             0.86483,           0.0097574,           0.0024253,          0.00045909,            0.007921,            0.007921,            0.007921
                  65,            0.016874,           0.0040613,          0.00065612,              0.9997,                   1,               0.995,              0.8592,            0.010886,           0.0024228,          0.00046577,            0.007888,            0.007888,            0.007888
                  66,            0.017414,           0.0040877,          0.00062004,             0.99968,                   1,               0.995,             0.86497,            0.010758,           0.0024728,          0.00046915,            0.007855,            0.007855,            0.007855
                  67,            0.017355,           0.0037229,          0.00064918,             0.99969,                   1,               0.995,             0.87047,             0.01001,            0.002469,          0.00051397,            0.007822,            0.007822,            0.007822
                  68,            0.016469,            0.003748,          0.00060182,             0.99969,                   1,               0.995,             0.87436,           0.0096405,           0.0023715,          0.00045636,            0.007789,            0.007789,            0.007789
                  69,            0.016535,           0.0040092,          0.00063811,             0.99967,                   1,               0.995,              0.8416,            0.011231,           0.0024097,          0.00044721,            0.007756,            0.007756,            0.007756
                  70,            0.016577,           0.0039383,          0.00056631,              0.9997,                   1,               0.995,             0.86407,            0.011148,           0.0024068,          0.00042028,            0.007723,            0.007723,            0.007723
                  71,            0.017481,           0.0038602,          0.00065645,             0.99971,                   1,               0.995,             0.84431,            0.011238,           0.0024323,          0.00048069,             0.00769,             0.00769,             0.00769
                  72,            0.016191,           0.0037771,          0.00058361,             0.99969,                   1,               0.995,             0.86331,            0.010068,           0.0023588,          0.00044301,            0.007657,            0.007657,            0.007657
                  73,             0.01657,           0.0040242,           0.0005982,             0.99967,                   1,               0.995,             0.87001,             0.01059,           0.0024201,          0.00044705,            0.007624,            0.007624,            0.007624
                  74,             0.01766,             0.00394,          0.00065212,             0.99959,                   1,               0.995,             0.86946,            0.010906,            0.002393,          0.00048142,            0.007591,            0.007591,            0.007591
                  75,            0.016571,           0.0038509,           0.0006583,             0.99966,                   1,               0.995,             0.84601,            0.011033,             0.00244,          0.00044843,            0.007558,            0.007558,            0.007558
                  76,            0.016722,           0.0037754,          0.00065614,             0.99969,                   1,               0.995,             0.87384,            0.010147,           0.0023254,          0.00043351,            0.007525,            0.007525,            0.007525
                  77,            0.016182,           0.0038797,          0.00059805,              0.9997,                   1,               0.995,             0.88395,           0.0099542,            0.002349,          0.00044695,            0.007492,            0.007492,            0.007492
                  78,              0.0157,           0.0035983,          0.00057019,             0.99972,                   1,               0.995,             0.87599,            0.009198,           0.0023519,          0.00041082,            0.007459,            0.007459,            0.007459
                  79,            0.016143,           0.0037762,          0.00063364,             0.99968,                   1,               0.995,              0.8776,           0.0098211,           0.0023032,          0.00043725,            0.007426,            0.007426,            0.007426
                  80,            0.015843,           0.0036728,           0.0005112,              0.9997,                   1,               0.995,             0.86505,            0.010127,            0.002337,          0.00040134,            0.007393,            0.007393,            0.007393
                  81,            0.016142,           0.0037146,          0.00052372,             0.99965,                   1,               0.995,             0.88722,           0.0087921,           0.0022493,          0.00040784,             0.00736,             0.00736,             0.00736
                  82,             0.01614,           0.0036407,           0.0005286,             0.99971,                   1,               0.995,             0.86272,            0.009846,           0.0022983,          0.00039303,            0.007327,            0.007327,            0.007327
