               epoch,      train/box_loss,      train/obj_loss,      train/cls_loss,   metrics/precision,      metrics/recall,     metrics/mAP_0.5,metrics/mAP_0.5:0.95,        val/box_loss,        val/obj_loss,        val/cls_loss,               x/lr0,               x/lr1,               x/lr2
                  49,            0.027114,            0.011844,           0.0008397,             0.98506,              0.9925,             0.99034,             0.71448,            0.018051,            0.007803,          0.00070619,            0.008416,            0.008416,            0.008416
                  50,            0.027067,            0.012577,          0.00083961,             0.98108,             0.99473,              0.9897,             0.71923,            0.017006,           0.0077548,           0.0006279,            0.008383,            0.008383,            0.008383
                  51,            0.027259,            0.012538,          0.00077132,             0.98008,             0.99246,             0.98936,             0.71907,            0.017368,             0.00785,          0.00070559,             0.00835,             0.00835,             0.00835
                  52,            0.025878,            0.012025,          0.00088836,             0.98412,             0.99316,             0.99087,              0.6937,            0.018274,           0.0078577,          0.00068346,            0.008317,            0.008317,            0.008317
                  53,            0.026267,            0.012498,           0.0007591,             0.97834,             0.99121,             0.98802,              0.7167,            0.016866,           0.0076966,          0.00062294,            0.008284,            0.008284,            0.008284
                  54,            0.025936,            0.012251,           0.0008021,             0.98291,             0.99382,             0.98992,             0.72969,            0.017527,           0.0077254,          0.00060803,            0.008251,            0.008251,            0.008251
                  55,            0.026239,            0.012573,          0.00071296,             0.98495,             0.99225,             0.99088,             0.72113,            0.017403,            0.007786,          0.00067119,            0.008218,            0.008218,            0.008218
                  56,            0.026964,            0.012118,          0.00081232,             0.97674,             0.98826,             0.98425,             0.72057,            0.017703,           0.0076481,           0.0006732,            0.008185,            0.008185,            0.008185
                  57,            0.025206,            0.011997,          0.00078978,             0.98092,             0.99066,              0.9881,             0.72111,            0.018123,           0.0077178,          0.00064054,            0.008152,            0.008152,            0.008152
                  58,            0.025613,             0.01212,          0.00081013,             0.98344,             0.99151,             0.98887,              0.7256,            0.017011,           0.0077326,          0.00056514,            0.008119,            0.008119,            0.008119
                  59,            0.025187,             0.01185,          0.00072626,             0.98575,             0.99145,             0.99098,             0.71939,            0.016739,           0.0075864,          0.00052321,            0.008086,            0.008086,            0.008086
                  60,            0.025755,            0.011869,           0.0007854,             0.98541,             0.99205,              0.9908,             0.71662,             0.01733,           0.0076516,          0.00062916,            0.008053,            0.008053,            0.008053
                  61,            0.026172,            0.012171,          0.00077045,             0.98407,             0.99363,             0.99007,             0.73311,            0.016261,           0.0076248,          0.00058457,             0.00802,             0.00802,             0.00802
                  62,            0.026135,            0.012253,          0.00084853,             0.98468,             0.99382,             0.99099,             0.72121,            0.017504,           0.0077825,          0.00066422,            0.007987,            0.007987,            0.007987
                  63,            0.025271,            0.012136,          0.00078123,             0.98392,             0.99324,             0.98959,             0.72225,            0.017151,           0.0077921,          0.00059332,            0.007954,            0.007954,            0.007954
                  64,            0.026006,            0.012643,          0.00081709,             0.97908,             0.98704,             0.98601,             0.73004,            0.016797,           0.0076954,          0.00063152,            0.007921,            0.007921,            0.007921
                  65,            0.025649,            0.011883,          0.00075586,             0.98472,             0.99434,             0.99096,             0.71867,            0.017921,           0.0077368,          0.00054671,            0.007888,            0.007888,            0.007888
                  66,            0.025758,            0.012232,          0.00069276,             0.98222,             0.98949,             0.98891,              0.7327,            0.016741,           0.0075595,          0.00056707,            0.007855,            0.007855,            0.007855
                  67,            0.024682,             0.01154,          0.00063718,             0.98255,             0.98693,             0.98784,             0.73828,            0.017061,           0.0075473,          0.00059833,            0.007822,            0.007822,            0.007822
                  68,            0.025073,            0.011874,          0.00070589,             0.98546,             0.99374,             0.99127,              0.7434,            0.016023,           0.0074467,          0.00054149,            0.007789,            0.007789,            0.007789
